Episode Number,Epsilon Value,Learn Step Counter,Total Reward
223,0.9831417162577408,68008,233.0
224,0.9831336053710241,68041,245.0
225,0.9830035945326006,68570,688.0
226,0.9829382269588801,68836,1018.0
227,0.9827134055262614,69751,912.0
228,0.9826642710782078,69951,627.0
229,0.9824495823637064,70825,897.0
230,0.9824038995145442,71011,770.0
231,0.9823655865047773,71167,636.0
232,0.9822182426994267,71767,642.0
233,0.9821801824751809,71922,762.0
234,0.9821715884351078,71957,242.0
235,0.9821620123076059,71996,239.0
236,0.9821421237257405,72077,651.0
237,0.9821170794177675,72179,605.0
238,0.9820782865544401,72337,576.0
239,0.9820426868573457,72482,639.0
240,0.9820164175635383,72589,605.0
241,0.9815243051186375,74594,267.0
242,0.9814732671753823,74802,1319.0
243,0.9814342543835147,74961,636.0
244,0.981426157583302,74994,240.0
245,0.9814107002411124,75057,613.0
246,0.9809267387194774,77030,449.0
247,0.9809191365657594,77061,246.0
248,0.9808583214569698,77309,794.0
249,0.9808475320734253,77353,227.0
250,0.980774706838726,77650,704.0
251,0.9806857055614366,78013,1288.0
252,0.9806513821581101,78153,639.0
253,0.9806099505072791,78322,714.0
254,0.9805998993055411,78363,232.0
255,0.980591319092887,78398,241.0
256,0.9805663143299332,78500,630.0
257,0.980557489271713,78536,232.0
258,0.9805493997047834,78569,249.0
259,0.9804545361275903,78956,766.0
260,0.9804466925216941,78988,243.0
261,0.980427083781478,79068,609.0
262,0.9802596901276147,79751,676.0
263,0.9802175398619014,79923,569.0
264,0.9802087179426373,79959,231.0
265,0.9801266288897641,80294,738.0
266,0.9801178077886952,80330,230.0
267,0.9801082516854596,80369,240.0
268,0.9799440972810752,81039,653.0
269,0.979903920391691,81203,593.0
270,0.9798960811907037,81235,245.0
271,0.9798860373060897,81276,232.0
272,0.9798781982481665,81308,251.0
273,0.979869869317837,81342,246.0
274,0.9798608055623316,81379,240.0
275,0.97985272174302,81412,246.0
276,0.9798279807710557,81513,592.0
277,0.979762579427949,81780,720.0
278,0.9797422495628049,81863,618.0
279,0.9797331869877768,81900,237.0
280,0.979725104221314,81933,239.0
281,0.979676119184609,82133,1033.0
282,0.9796153811405178,82381,577.0
283,0.9796050952317297,82423,236.0
284,0.9794211916165777,83174,932.0
285,0.979394257900778,83284,626.0
286,0.9792791858216919,83754,976.0
287,0.9792713516185618,83786,247.0
288,0.9792630278464075,83820,247.0
289,0.9790162846234641,84828,642.0
290,0.9788985649785426,85309,747.0
291,0.978687390368005,86172,899.0
292,0.978529589729579,86817,1236.0
293,0.9784953417889954,86957,607.0
294,0.9784767505517922,87033,620.0
295,0.9783385504540941,87598,731.0
296,0.9783131139792747,87702,601.0
297,0.9782906130335993,87794,626.0
298,0.9780609862369543,88733,656.0
299,0.9778710163180312,89510,1216.0
300,0.9778336134623107,89663,637.0
301,0.977805990049456,89776,593.0
302,0.977795723139177,89818,230.0
303,0.9776334225001511,90482,1244.0
304,0.9775816092953364,90694,801.0
305,0.9775647461559109,90763,620.0
306,0.9773343124016141,91706,998.0
307,0.9773247834373294,91745,240.0
308,0.9773137885939859,91790,225.0
309,0.9773059701139728,91822,248.0
310,0.9772688331880669,91974,637.0
311,0.9770980703589354,92673,1039.0
312,0.9770428658705933,92899,703.0
313,0.9769034029384437,93470,980.0
314,0.976814997169836,93832,668.0
315,0.9767915538882908,93928,606.0
316,0.9767822744114452,93966,238.0
317,0.9767566342100622,94071,585.0
318,0.9767214715997612,94215,639.0
319,0.9767136578582656,94247,245.0
320,0.9766553009533359,94486,796.0
321,0.9766450461252305,94528,218.0
322,0.976265449104998,96083,533.0
323,0.976071435603439,96878,685.0
324,0.9759345511667119,97439,1857.0
325,0.9758496485434534,97787,774.0
326,0.9753606264173335,99792,1404.0
327,0.9753391687169025,99880,650.0
328,0.9753001559255328,100040,636.0
329,0.9750702559855267,100983,616.0
330,0.974811896569494,102043,1165.0
331,0.9747022363859081,102493,682.0
332,0.9746764071156508,102599,609.0
333,0.974469066740704,103450,904.0
334,0.9744222933422176,103642,1341.0
335,0.9744130363732431,103680,237.0
336,0.9743947662978072,103755,629.0
337,0.9740326023195158,105242,1315.0
338,0.974012634853337,105324,606.0
339,0.9739902328175565,105416,600.0
340,0.9736929676341965,106637,831.0
341,0.973618239557306,106944,698.0
342,0.9735612845491145,107178,621.0
343,0.9733690251575976,107968,685.0
344,0.9732055128763255,108640,709.0
345,0.9731821562213748,108736,625.0
346,0.973044460671228,109302,959.0
347,0.9730177023131401,109412,619.0
348,0.9729894852053923,109528,592.0
349,0.9729814580742469,109561,245.0
350,0.9729607824353549,109646,613.0
351,0.972952025826622,109682,230.0
352,0.9728377106654297,110152,749.0
353,0.9727538070207821,110497,1394.0
354,0.9727158703573308,110653,812.0
355,0.9727071159527969,110689,239.0
356,0.9724693181051588,111667,648.0
357,0.9722216130681416,112686,866.0
358,0.9719363078595913,113860,609.0
359,0.9718051052979836,114400,964.0
360,0.9716666329195426,114970,956.0
361,0.9716413699123466,115074,598.0
362,0.9715495541297643,115452,1018.0
363,0.9714062611207179,116042,670.0
364,0.9713848904153777,116130,724.0
365,0.9713210239504733,116393,1558.0
366,0.971098616874739,117309,1181.0
367,0.9710891487081971,117348,239.0
368,0.9706025121849773,119353,443.0
369,0.9703802696296199,120269,889.0
370,0.9702788701769676,120687,670.0
371,0.9701008403167507,121421,924.0
372,0.9697654858869788,122804,1080.0
373,0.9695880350181053,123536,1205.0
374,0.9695526456962577,123682,638.0
375,0.9695090168033988,123862,571.0
376,0.9694699948459113,124023,635.0
377,0.9694287932415151,124193,633.0
378,0.9693204656132335,124640,1267.0
379,0.9692964752255898,124739,611.0
380,0.969184770229965,125200,1091.0
381,0.9688083150307795,126754,1040.0
382,0.9684859976521454,128085,1085.0
383,0.9684627542642151,128181,617.0
384,0.9683891538825304,128485,1540.0
385,0.9682543150643487,129042,1607.0
386,0.968093840191267,129705,1227.0
387,0.9680018756333261,130085,767.0
388,0.9679554126526017,130277,805.0
389,0.9679471850655318,130311,244.0
390,0.9679220187627343,130415,595.0
391,0.9678179727252718,130845,664.0
392,0.9677814382818214,130996,617.0
393,0.9677717605146164,131036,235.0
394,0.9674098815064909,132532,797.0
395,0.9673208838802086,132900,770.0
396,0.9672974266302594,132997,608.0
397,0.967290171925857,133027,246.0
398,0.9671695099882546,133526,983.0
399,0.9671598383403027,133566,226.0
400,0.9671521010915768,133598,240.0
401,0.9671407371197305,133645,213.0
402,0.9668982569517759,134648,1158.0
403,0.9668598235051223,134807,763.0
404,0.9667815110213167,135131,1406.0
405,0.9666879794230854,135518,992.0
406,0.9666529376145828,135663,734.0
407,0.9664465792161214,136517,904.0
408,0.9661344673407548,137809,585.0
409,0.9659543000411728,138555,935.0
410,0.9659105915925373,138736,807.0
411,0.96575823119539,139367,1242.0
412,0.9657495394093344,139403,228.0
413,0.9656365533088996,139871,750.0
414,0.9655436152517293,140256,1305.0
415,0.9655175459227927,140364,604.0
416,0.9655078907944009,140404,236.0
417,0.9654835120248909,140505,613.0
418,0.9654473070675065,140655,638.0
419,0.9654388594394706,140690,242.0
420,0.9653565592744988,141031,775.0
421,0.9653196350876655,141184,637.0
422,0.9652846428807521,141329,606.0
423,0.9652771619528223,141360,249.0
424,0.9652675092282582,141400,235.0
425,0.9652310710629997,141551,637.0
426,0.9651840171893443,141746,805.0
427,0.9651649549908592,141825,608.0
428,0.964963256568245,142661,1285.0
429,0.964953365744318,142702,225.0
430,0.9646711581243985,143872,840.0
431,0.9646359482653049,144018,638.0
432,0.9643198405986765,145329,810.0
433,0.9643106796025591,145367,235.0
434,0.9643029651470147,145399,246.0
435,0.9642930810910411,145440,232.0
436,0.9642547511980829,145599,770.0
437,0.9640313110236622,146526,1274.0
438,0.9640238398090178,146557,248.0
439,0.9640146816248951,146595,238.0
440,0.9640045595226124,146637,232.0
441,0.9639966065168074,146670,249.0
442,0.9639879305853049,146706,231.0
443,0.963903344345087,147057,1011.0
444,0.9638488853377976,147283,622.0
445,0.9638132235843238,147431,638.0
446,0.9637944294073557,147509,652.0
447,0.9637443133937825,147717,626.0
448,0.963565555381597,148459,1204.0
449,0.9635445980560565,148546,613.0
450,0.9631469770381335,150197,741.0
451,0.9631089334791445,150355,636.0
452,0.962993367326773,150835,973.0
453,0.962984941170619,150870,232.0
454,0.9628349679267334,151493,945.0
455,0.9627945297022291,151661,573.0
456,0.9626147445892653,152408,929.0
457,0.9623498213094036,153509,1393.0
458,0.9623207106639665,153630,593.0
459,0.9621871979113151,154185,959.0
460,0.962091705558859,154582,764.0
461,0.9620823252092852,154621,234.0
462,0.9620589949928592,154718,623.0
463,0.961919506534287,155298,639.0
464,0.9618983445352782,155386,650.0
465,0.961802880850101,155783,764.0
466,0.9617769125196424,155891,592.0
467,0.9617682565652982,155927,237.0
468,0.9617283440058474,156093,634.0
