Episode Number,Epsilon Value,Learn Step Counter,Total Reward
0,0.9999987500006249,5,233.0
1,0.9999577508872317,169,635.0
2,0.999939001852829,244,619.0
3,0.999899255062504,403,619.0
4,0.9998780074264316,488,651.0
5,0.999856010349484,576,625.0
6,0.9997952709342326,819,708.0
7,0.9997680268808923,928,590.0
8,0.9997425331180634,1030,604.0
9,0.9997057932504732,1177,638.0
10,0.9996360661944277,1456,1314.0
11,0.9995973310425137,1611,604.0
12,0.9994466530836403,2214,1613.0
13,0.9994224167931361,2311,597.0
14,0.9993617037178968,2554,717.0
15,0.9993504609605637,2599,218.0
16,0.9993242283519851,2704,615.0
17,0.999129379101493,3484,920.0
18,0.9991198874162893,3522,243.0
19,0.9990364643782108,3856,749.0
20,0.9989982519594838,4009,637.0
21,0.9989895107619281,4044,246.0
22,0.9989385635896675,4248,627.0
23,0.9988459163228844,4619,769.0
24,0.9988276875489684,4692,609.0
25,0.9987338021472729,5068,730.0
26,0.9985762642963948,5699,1246.0
27,0.9984314812169803,6279,659.0
28,0.9984125111966792,6355,618.0
29,0.9984037751243333,6390,246.0
30,0.9981552035016708,7386,1167.0
31,0.9979670689545049,8140,1218.0
32,0.9979590852488891,8172,247.0
33,0.9979336376134894,8274,633.0
34,0.9978313546449252,8684,1387.0
35,0.9977545245789986,8992,671.0
36,0.9976637330369778,9356,1113.0
37,0.9976470223073108,9423,611.0
38,0.9976106088509894,9569,755.0
39,0.9975001295801366,10012,706.0
40,0.9974884090210057,10059,230.0
41,0.9974425256037754,10243,722.0
42,0.9973370516205299,10666,1136.0
43,0.9973113705188824,10769,625.0
44,0.9972500377479225,11015,794.0
45,0.9972138880847468,11160,638.0
46,0.9972059104045545,11192,239.0
47,0.9971969355906245,11228,238.0
48,0.9971889580460517,11260,247.0
49,0.9971470769840811,11428,634.0
50,0.9970732908212732,11724,1021.0
51,0.9969464213013834,12233,1276.0
52,0.9969262333382296,12314,614.0
53,0.9968429934626426,12648,777.0
54,0.9968345203321487,12682,247.0
55,0.9966052747280394,13602,897.0
56,0.9964455815085412,14243,715.0
57,0.9964343715574028,14288,220.0
58,0.9963992478604686,14429,639.0
59,0.9963613854037031,14581,637.0
60,0.9963509236627714,14623,230.0
61,0.9962174215671342,15159,968.0
62,0.9959106338106402,16391,494.0
63,0.9959009237280821,16430,231.0
64,0.9958934544982291,16460,250.0
65,0.9958852384100926,16493,248.0
66,0.9958772713590566,16525,247.0
67,0.9957147076437882,17178,1471.0
68,0.9957059951771233,17213,236.0
69,0.9956823474375966,17308,637.0
70,0.9956522284983687,17429,713.0
71,0.9956432676675153,17465,239.0
72,0.9956333112833746,17505,235.0
73,0.9956241017166872,17542,239.0
74,0.9955111047796995,17996,991.0
75,0.9953540752692981,18627,1230.0
76,0.9953453659581525,18662,245.0
77,0.9953264545734913,18738,605.0
78,0.9950376029555228,19899,598.0
79,0.9950286476562745,19935,237.0
80,0.995020936213172,19966,243.0
81,0.9947105380668598,21214,926.0
82,0.9945625858600255,21809,1254.0
83,0.9945235500397285,21966,636.0
84,0.9942973216382398,22876,1182.0
85,0.9942876272854008,22915,231.0
86,0.9942607818785193,23023,602.0
87,0.9942493479438422,23069,229.0
88,0.9942411454195307,23102,247.0
89,0.9939299965994073,24354,822.0
90,0.9936457732306908,25498,547.0
91,0.993487050976833,26137,1231.0
92,0.993477861262964,26174,239.0
93,0.9933390324153712,26733,1248.0
94,0.993330092403191,26769,230.0
95,0.9933179241825669,26818,225.0
96,0.9932754607436568,26989,794.0
97,0.9932419382583568,27124,640.0
98,0.9932322541954566,27163,244.0
99,0.9932069270927273,27265,628.0
100,0.9930706187792981,27814,1368.0
101,0.9929149671398438,28441,946.0
102,0.9928794710598227,28584,639.0
103,0.9928707834013724,28619,231.0
104,0.992861102957215,28658,239.0
105,0.992852167246381,28694,237.0
106,0.9928315657750734,28777,629.0
107,0.9928228785357924,28812,242.0
108,0.9927990510696567,28908,623.0
109,0.9927908605102465,28941,247.0
110,0.992781429040691,28979,231.0
111,0.9927727422401047,29014,249.0
112,0.9927106958749192,29264,706.0
113,0.9924918272702402,30146,899.0
114,0.9924101981642753,30475,687.0
115,0.9923372586861409,30769,1320.0
116,0.9923283276898845,30805,245.0
117,0.9923055043979606,30897,629.0
118,0.992280697067339,30997,627.0
119,0.9922710223764963,31036,233.0
120,0.991847661005874,32743,1124.0
121,0.9918389823757232,32778,244.0
122,0.9917638534089517,33081,783.0
123,0.9917551755121142,33116,235.0
124,0.9917467456278944,33150,246.0
125,0.9917375720117776,33187,237.0
126,0.99168278001771,33408,1026.0
127,0.9916626986422262,33489,614.0
128,0.99162526407725,33640,637.0
129,0.9914941302910781,34169,989.0
130,0.9914676081745087,34276,591.0
131,0.9914606679246739,34304,248.0
132,0.9912995686356479,34954,951.0
133,0.9912564480368959,35128,770.0
134,0.9912477745798365,35163,235.0
135,0.9912063908439582,35330,610.0
136,0.9911796286293458,35438,592.0
137,0.9911716992230418,35470,240.0
138,0.9911479113847393,35566,616.0
139,0.991123132993585,35666,622.0
140,0.9911149562604434,35699,241.0
141,0.9909697685364428,36285,1261.0
142,0.9909620885495356,36316,251.0
143,0.9908803375392755,36646,778.0
144,0.9908719150911478,36680,236.0
145,0.9908421893758634,36800,583.0
146,0.990831785586193,36842,230.0
147,0.9908231158449143,36877,234.0
148,0.9908156846984825,36907,248.0
149,0.9906581575086457,37543,941.0
150,0.9906497369490406,37577,246.0
151,0.9906388398605046,37621,222.0
152,0.9906172936973568,37708,636.0
153,0.9905088270287822,38146,686.0
154,0.9904721788755908,38294,638.0
155,0.9903679371515361,38715,987.0
156,0.990263953964336,39135,1271.0
157,0.9902533086827172,39178,230.0
158,0.9902305331156874,39270,623.0
159,0.9901372082742651,39647,720.0
160,0.9901124551503762,39747,647.0
161,0.9899765715241288,40296,734.0
162,0.9899443978043538,40426,585.0
163,0.9898308081878197,40885,1375.0
164,0.9896397892518558,41657,1231.0
165,0.9891438565489462,43662,443.0
166,0.989118880978761,43763,611.0
167,0.9889858534189263,44301,962.0
168,0.9887537162089581,45240,1158.0
169,0.9887438287199962,45280,237.0
170,0.9887351772482625,45315,244.0
171,0.9885453582936795,46083,618.0
172,0.9882708279132314,47194,850.0
173,0.9882480979427408,47286,616.0
174,0.9882401919885923,47318,240.0
175,0.9882184509408,47406,625.0
176,0.9881974515192093,47491,651.0
177,0.9881762054997383,47577,635.0
178,0.9881544658596334,47665,601.0
179,0.9880032897727042,48277,1230.0
180,0.9879679692820325,48420,586.0
181,0.987804227141138,49083,659.0
182,0.9877955838908832,49118,248.0
183,0.9877701484788972,49221,606.0
184,0.9877461953402322,49318,648.0
185,0.9877200204095995,49424,601.0
