Episode Number,Epsilon Value,Learn Step Counter,Total Reward
0,0.9999985000009374,6,228.0
1,0.9999885000646858,46,225.0
2,0.9999485013196577,206,811.0
3,0.9999225029933496,310,617.0
4,0.9998597598170222,561,698.0
5,0.9998347636323525,661,605.0
6,0.9996643063157215,1343,935.0
7,0.999392434566616,2431,961.0
8,0.9993831902281946,2468,248.0
9,0.9993754450375139,2499,251.0
10,0.9991371223851551,3453,883.0
11,0.9991271310626377,3493,236.0
12,0.9990991558911213,3605,607.0
13,0.9990884156315805,3648,224.0
14,0.9990791741053215,3685,232.0
15,0.9987278097616874,5092,452.0
16,0.9986628945556966,5352,725.0
17,0.998591991998381,5636,731.0
18,0.9985517994745531,5797,635.0
19,0.99852933230901,5887,600.0
20,0.9985200959542484,5924,247.0
21,0.998457690390636,6174,794.0
22,0.9983266514019963,6699,738.0
23,0.9983176665014407,6735,231.0
24,0.9982699979649938,6926,805.0
25,0.9981821540593687,7278,773.0
26,0.9981724218295934,7317,234.0
27,0.9980094834615453,7970,1835.0
28,0.9979278995108521,8297,1400.0
29,0.99789172527563,8442,639.0
30,0.9978298578988285,8690,737.0
31,0.9977722348812046,8921,797.0
32,0.9977358168547072,9067,638.0
33,0.9977278349991011,9099,249.0
34,0.9975637222483499,9757,1246.0
35,0.9975567393258605,9785,249.0
36,0.9975295562716833,9894,594.0
37,0.9975026233338898,10002,614.0
38,0.9974951420913332,10032,242.0
39,0.9974592329080934,10176,624.0
40,0.9974502558142706,10212,230.0
41,0.9974405307204693,10251,239.0
42,0.9972727254471921,10924,709.0
43,0.9972343311815518,11078,637.0
44,0.997226104031227,11111,252.0
45,0.9971191572533106,11540,758.0
46,0.9970448746338613,11838,1315.0
47,0.9970192010556753,11941,598.0
48,0.997009480164638,11980,240.0
49,0.9970017533701412,12011,250.0
50,0.9967971397338493,12832,905.0
51,0.9967470519297759,13033,627.0
52,0.9967368353235752,13074,230.0
53,0.9966720495267333,13334,792.0
54,0.9966623320204072,13373,237.0
55,0.9963021036575025,14819,1079.0
56,0.9962126895450282,15178,772.0
57,0.9961735889594248,15335,762.0
58,0.9961636272720971,15375,234.0
59,0.9961379763857415,15478,612.0
60,0.9961150654728941,15570,613.0
61,0.9961068475564745,15603,248.0
62,0.9959746231325046,16134,1261.0
63,0.9959656594001116,16170,234.0
64,0.9958994298776299,16436,1327.0
65,0.9958568560816963,16607,633.0
66,0.9956634296503475,17384,1301.0
67,0.9954842263393674,18104,1327.0
68,0.9954110609284375,18398,785.0
69,0.995373982552367,18547,814.0
70,0.9950040209989194,20034,772.0
71,0.9948174752108521,20784,1459.0
72,0.9947834032915467,20921,640.0
73,0.994705813202434,21233,781.0
74,0.9946622957696117,21408,633.0
75,0.9946533438481132,21444,233.0
76,0.9945280254063333,21948,682.0
77,0.9940433110920027,23898,678.0
78,0.9938239002219877,24781,1200.0
79,0.9937995518316545,24879,617.0
80,0.9937761978136745,24973,622.0
81,0.9937672538670228,25009,243.0
82,0.993677073569442,25372,771.0
83,0.9935009598946494,26081,931.0
84,0.9934378745787817,26335,754.0
85,0.9933998763020456,26488,708.0
86,0.9930559710938651,27873,1090.0
87,0.9930184839338393,28024,813.0
88,0.9930080572931934,28066,234.0
89,0.9929976307620267,28108,227.0
90,0.9929904315544005,28137,251.0
91,0.9929802534533664,28178,231.0
92,0.9928794710598227,28584,988.0
93,0.9928715280548323,28616,241.0
94,0.9928630886816552,28650,242.0
95,0.9928434798268377,28729,652.0
96,0.9928352889008918,28762,247.0
97,0.9927087104552645,29272,1276.0
98,0.9926829003610954,29376,631.0
99,0.9926424493520386,29539,635.0
100,0.9925868629243534,29763,623.0
101,0.9925650262508408,29851,623.0
102,0.9925250763075326,30012,635.0
103,0.9922975659846857,30929,1193.0
104,0.9922546500376505,31102,1316.0
105,0.9922184333993497,31248,638.0
106,0.9921971009296869,31334,633.0
107,0.9921891633836364,31366,248.0
108,0.9921802337202321,31402,234.0
109,0.9920388580924863,31972,967.0
110,0.9920014093277569,32123,637.0
111,0.991992729352314,32158,236.0
112,0.9919840494528206,32193,241.0
113,0.9919597461382844,32291,611.0
114,0.9919200685370309,32451,636.0
115,0.9917432745199248,33164,1213.0
116,0.9915801461485291,33822,655.0
117,0.9915070198001664,34117,784.0
118,0.9914978484015033,34154,232.0
119,0.9913736710572204,34655,970.0
120,0.991228693241447,35240,705.0
121,0.99106019866495,35920,644.0
122,0.9910376522990747,36011,622.0
123,0.9906504799367148,37574,1065.0
124,0.9906244756996694,37679,619.0
125,0.9906004533444002,37776,634.0
126,0.990591290331439,37813,238.0
127,0.9905672687809051,37910,627.0
128,0.9905590966336252,37943,242.0
129,0.9902991089630986,38993,634.0
130,0.9901825080934378,39464,714.0
131,0.9901416639022851,39629,635.0
132,0.989904553339231,40587,1165.0
133,0.989895396763316,40624,236.0
134,0.9896932312500841,41441,1196.0
135,0.9896239551399196,41721,706.0
136,0.9895536943246008,42005,787.0
137,0.9893617395040963,42781,1228.0
138,0.9891280303718709,43726,884.0
139,0.9891196228182928,43760,245.0
140,0.9891107207806326,43796,234.0
141,0.9891015715476357,43833,244.0
142,0.9888204593457098,44970,535.0
143,0.9887168858143907,45389,709.0
144,0.9886778322638264,45547,636.0
145,0.9885713079531698,45978,1272.0
146,0.9885638936952358,46008,244.0
147,0.9885030988776261,46254,794.0
148,0.9882804636019833,47155,602.0
149,0.9882562510242004,47253,620.0
150,0.9881836168499996,47547,730.0
151,0.9881747232363562,47583,236.0
152,0.9880037837745345,48275,705.0
153,0.9879551257803075,48472,760.0
154,0.9878358373861233,48955,1277.0
155,0.9878252182066208,48998,223.0
156,0.9877059454978312,49481,1001.0
157,0.9876849569668668,49566,616.0
158,0.9876760678411433,49602,249.0
159,0.9875911313410035,49946,775.0
160,0.9875057083920487,50292,774.0
161,0.9871547124620151,51714,1091.0
162,0.9870429235070086,52167,981.0
163,0.9869800015184205,52422,792.0
164,0.9868206170988679,53068,681.0
165,0.9867954534908203,53170,647.0
166,0.9867717706811678,53266,590.0
167,0.9865149967098771,54307,1160.0
168,0.9864003209928143,54772,1267.0
169,0.9863919366246703,54806,249.0
170,0.9862757957975241,55277,749.0
171,0.9862545910932122,55363,636.0
172,0.9857603547958975,57368,806.0
173,0.9857196930148286,57533,604.0
174,0.9857127930002642,57561,248.0
175,0.9855817019001417,58093,1073.0
176,0.9854782212413226,58513,759.0
177,0.9853198183294104,59156,1488.0
178,0.9852291730645272,59524,770.0
179,0.9851941980453169,59666,639.0
180,0.9851360732950555,59902,796.0
181,0.9850971611838103,60060,601.0
182,0.985088541620282,60095,235.0
183,0.9850602207282811,60210,599.0
184,0.9849695993452813,60578,770.0
185,0.9846652907191066,61814,596.0
186,0.984582336152493,62151,724.0
187,0.984545415002543,62301,638.0
188,0.9845355695963882,62341,229.0
189,0.9845148945639279,62425,631.0
190,0.9844683773283169,62614,806.0
191,0.9844600093816264,62648,241.0
192,0.9844228467130716,62799,637.0
193,0.9844137408427146,62836,243.0
194,0.9844063577664209,62866,249.0
195,0.9843630448341506,63042,573.0
196,0.9843477873232923,63104,612.0
197,0.9843234250139922,63203,613.0
198,0.9843140739847018,63241,229.0
199,0.9842616606492207,63454,1039.0
200,0.9840298942906966,64396,885.0
201,0.9840065238553077,64491,616.0
202,0.983979710039517,64600,586.0
203,0.9839546188736848,64702,623.0
204,0.9839455173344159,64739,242.0
205,0.9839253466555367,64821,651.0
206,0.9837059557387738,65713,1178.0
207,0.9836656246163353,65877,751.0
208,0.983626770586673,66035,611.0
209,0.9836186556982741,66068,247.0
210,0.9833956454249326,66975,1777.0
211,0.9833617188561569,67113,640.0
212,0.9833531144776844,67148,234.0
213,0.9833425434872001,67191,232.0
214,0.9833334476096028,67228,237.0
215,0.9831670324860475,67905,708.0
216,0.9831392584062149,68018,613.0
217,0.9831284439324988,68062,227.0
218,0.9830905942112826,68216,637.0
219,0.9830694579880775,68302,616.0
220,0.9830431612285064,68409,618.0
221,0.9830348053961026,68443,240.0
222,0.9828175786813628,69327,1200.0
223,0.9824994429514528,70622,1101.0
224,0.9824906004951506,70658,235.0
225,0.9824827406008027,70690,246.0
226,0.9824407403561476,70861,809.0
227,0.9822614612583153,71591,1737.0
228,0.9822521298175899,71629,233.0
229,0.9822447629533204,71659,245.0
230,0.9822361683481702,71694,233.0
231,0.9820854066487189,72308,951.0
232,0.9820748492860222,72351,230.0
233,0.9820510342567049,72448,617.0
234,0.9820296748763211,72535,625.0
235,0.9820105254819719,72613,630.0
236,0.982003160429728,72643,247.0
237,0.9815883516770574,74333,2361.0
238,0.9815247958809742,74592,700.0
239,0.9815144899234342,74634,227.0
240,0.9814087374214292,75065,757.0
241,0.9813851838914273,75161,631.0
242,0.9813459292642569,75321,635.0
243,0.9812860689808379,75565,1021.0
244,0.9812772374448538,75601,244.0
245,0.9807854954211884,77606,443.0
246,0.980765144330755,77689,603.0
247,0.9806511369952645,78154,750.0
