Episode Number,Epsilon Value,Learn Step Counter,Total Reward
0,0.9997057932504732,1177,831.0
1,0.9996715539091218,1314,640.0
2,0.9996323175657391,1471,636.0
3,0.9995178662035209,1929,1275.0
4,0.9994821340740487,2072,639.0
5,0.9994581467876777,2168,590.0
6,0.9994506508787485,2198,249.0
7,0.9993594551563116,2563,725.0
8,0.9991223852194426,3512,654.0
9,0.9990499514632052,3802,1017.0
10,0.9989927574835202,4031,1315.0
11,0.998953048305666,4190,636.0
12,0.9988574031184085,4573,1293.0
13,0.99884741459307,4613,233.0
14,0.9988391741348605,4646,249.0
15,0.9986696355538293,5325,1222.0
16,0.9986608972316549,5360,243.0
17,0.998637179314029,5455,591.0
18,0.9985907437590149,5641,753.0
19,0.9985517994745531,5797,636.0
20,0.99852933230901,5887,619.0
21,0.9985021227520314,5996,605.0
22,0.9984941347660019,6028,246.0
23,0.9984719185158798,6117,618.0
24,0.9982260750458982,7102,1161.0
25,0.9981771631604511,7298,804.0
26,0.99816643281228,7341,228.0
27,0.9981447229257456,7428,638.0
28,0.9981162762029501,7542,599.0
29,0.9981057960357594,7584,237.0
30,0.9980641259834288,7751,634.0
31,0.9980279468100856,7896,638.0
32,0.9980182160838238,7935,234.0
33,0.9978166367391471,8743,909.0
34,0.997779718201965,8891,638.0
35,0.9977432999023315,9037,602.0
36,0.9977343202519172,9073,236.0
37,0.9976183403641351,9538,981.0
38,0.9975986375940128,9617,604.0
39,0.9975771894511889,9703,613.0
40,0.9975564899366757,9786,632.0
41,0.9975477613544842,9821,229.0
42,0.9975203291648086,9931,608.0
43,0.9974739455421253,10117,720.0
44,0.9974644695834677,10155,240.0
45,0.997180481974871,11294,846.0
46,0.9971366069934301,11470,808.0
47,0.9971164151790551,11551,626.0
48,0.9971089368330494,11581,241.0
49,0.9969426827588455,12248,946.0
50,0.9967041927226592,13205,601.0
51,0.9966795245960717,13304,611.0
52,0.9964757244470636,14122,909.0
53,0.996465759738396,14162,233.0
54,0.9964575389287601,14195,236.0
